error,uuid,title,normalized_job_title,parent_uuid
,7bb15eefb19ed09c59349baad7e8469e,Database Coordinator,database coordinator,b90ca4df5690002377a7b0f1f3d40781
,ec3d88b2fd083b870b8c5a603898ed39,Databases Computer Consultant,databases computer consultant,b90ca4df5690002377a7b0f1f3d40781
,1f8576bdffa64f492405d02b842c41a6,Data Management Associate,data management associate,b90ca4df5690002377a7b0f1f3d40781
,edc64316da9707432443c7a4461abe6c,Data Security Administrator,data security administrator,7ef30a5b2e0ec04db4ad4d5b1d354c32
,6cf4d336112984368f83181ac5ffe948,Health Data Analyst,health data analyst,db06efbaa9cb31d42e02c047ffb0a15a
,d4624ed8068d24948e18303212593cd6,Data Architect,data architect,596226d5f9ef63de41a852826d483d19
,1a281bf4bd1fe9b2a6e464e508bea167,Data Storage Specialist,data storage specialist,72ac7ec4ef0212a3aa54ed92abac8a92
,2f704538f6c9d6459a97314be98124e2,Data Collector,data collector,b9395a0c9f252a057e9b153c5c7f4bdd
,3161063d378eecc4581c5cdee46a2a6c,Head of Information Systems and Data Processing,head of information systems and data processing,bb4e5066e69e4228172b4850d2a920f4
,781f5d3a80812531fdc81125a527a626,Data Warehouse Specialist,data warehouse specialist,72ac7ec4ef0212a3aa54ed92abac8a92
,38a15ceadcdd6d4db16a88fa1a72b083,Data Warehouse Analyst,data warehouse analyst,72ac7ec4ef0212a3aa54ed92abac8a92
,e55556364d2096578fd153e9800e826f,Database Consultant,database consultant,596226d5f9ef63de41a852826d483d19
,d24ffac92c24fb0e7bd1abc5fc3b6254,Data Manager,data manager,430aaf9809812ccc822ef42674765d0e
,ccd7528fb38f16077360c5b67c9700c4,Data Communications Analyst,data communications analyst,9f07202082ce5945f125f3472a753789
,f6fbd9dea1fa8f899683ade8e7d87d60,Data Entry Associate,data entry associate,bf88358c56bb6cbe7eabec38ae333d19
,0de6170ccbed08e62b2e5862d5846a43,Database Tester,database tester,b90ca4df5690002377a7b0f1f3d40781
,499f9d9b6722342608656559b15abd90,Clinical Data Associate,clinical data associate,0b9dd32a367f4562ec77b993053d1910
,8a7a3f1bce0958ae9f090683e5a925b7,Data Scientist,data scientist,c694b1fbf0bd19efa780497ccb70638e
,7acaed29536648e45ea2b82d45047fcf,Medical Data Analyst,medical data analyst,db06efbaa9cb31d42e02c047ffb0a15a
,02e4c028f64f176de2f54bbc2f5403ce,Marketing Database Analyst,marketing database analyst,9656fa2dc39e9643c00a45858e0117d0
,569da68cdcac43a3b4a0126ea9170570,Database Designer,database designer,596226d5f9ef63de41a852826d483d19
,ced804d972b03cca6d523ec8925a7943,Oracle Database Administrator (Oracle DBA),oracle database administrator oracle dba,b90ca4df5690002377a7b0f1f3d40781
,41b2978a2c07c5f477e60f26372d6c85,Database Management System Specialist (DBMS Specialist),database management system specialist dbms specialist,b90ca4df5690002377a7b0f1f3d40781
,d9e964a222fdd9527319ad88adbfaa2e,SQL Database Administrator,sql database administrator,b90ca4df5690002377a7b0f1f3d40781
,ac47656fd51c2cd8037057262c910dc4,Data Processing Manager,data processing manager,bb4e5066e69e4228172b4850d2a920f4
,e49986dae76619a3941d280ee14d38ae,Data Miner,data miner,b90ca4df5690002377a7b0f1f3d40781
,f842344417ed2fc226d9cc00f9562458,Log Data Technician,log data technician,0581dd6e7d2b00f3d449837e60ab76a0
,096536ec43ce2a7de73031b271a1c132,Flight Data Technician,flight data technician,351a52f8a687142e32acd0b6c331e61b
,a33662485eb4ad97096183db945308f4,Automatic Data Processing Planner (ADP Planner),automatic data processing planner adp planner,b90ca4df5690002377a7b0f1f3d40781
,4f75f97ac5b5f00f9420074d501f0803,Data Capture Specialist,data capture specialist,bf88358c56bb6cbe7eabec38ae333d19
,f36c6ada3a808453a0bf241c74a4e994,Reference Data Expert,reference data expert,c80b795c61b66ce7d93000761d21632f
,41ba88cfd476ee8d5e3d9f7cea62f051,Data Recovery Planner,data recovery planner,b90ca4df5690002377a7b0f1f3d40781
,894ca61c22718617c7e2404f582153da,Data Processing Consultant,data processing consultant,0148f61d4227497728ce33490843d056
,34d80517fe3bc143f9fc850386b8ffd7,Clinical Data Coordinator,clinical data coordinator,0b9dd32a367f4562ec77b993053d1910
